Price,Close,High,Low,Open,Volume
Ticker,JKS,JKS,JKS,JKS,JKS
Date,,,,,
2023-07-10,39.04118728637695,39.253657826110995,37.10240838613669,38.06737214059885,695800
2023-07-11,38.12049102783203,39.48383157109299,37.95228419708665,39.474980179682305,664400
2023-07-12,39.04118728637695,39.21824550663788,38.21786943270261,38.88183522585258,438600
2023-07-13,39.59892272949219,40.14780021769538,39.200542545673365,39.359894619200894,412300
2023-07-14,38.65166473388672,41.139324636813704,38.51887021469052,40.43994647297625,958200
2023-07-17,40.643558502197266,41.04193864585554,37.961137830072595,38.60739745107174,730800
2023-07-18,38.79330825805664,40.493062464497775,38.35066439077886,40.015006277332645,816100
2023-07-19,38.34181594848633,39.60777777644281,38.30640362587518,39.342188733964136,506700
2023-07-20,37.5450553894043,38.32410959746833,37.49193690575052,38.15590275445051,500900
2023-07-21,37.447669982910156,38.56313440433692,36.66861584159198,38.5100159252341,808500
2023-07-24,37.306026458740234,37.96114090098619,36.87223733830179,37.44767236826573,547300
2023-07-25,37.385704040527344,38.46575625603049,37.21750057135268,38.02311234831346,396200
2023-07-26,37.217498779296875,37.536202917844044,36.40303227222024,36.73944257147612,744700
2023-07-27,36.40303039550781,37.686698275320545,36.296796813837105,37.500788663120645,725900
2023-07-28,37.40340805053711,37.54505395777448,35.47348045373746,36.580090159374656,868200
2023-07-31,37.58046340942383,38.200165472684596,37.0847010833943,37.0847010833943,693700
2023-08-01,36.341060638427734,37.270612079438976,36.24367844779809,37.04043875558183,710500
2023-08-02,34.101287841796875,35.41151343358698,33.552410329165696,35.41151343358698,1424300
2023-08-03,34.12784194946289,35.23445163250063,33.81799258905422,33.88881385267417,478800
2023-08-04,33.85340881347656,34.384580171748794,33.59667452689943,34.03046368149722,433400
2023-08-07,34.021610260009766,34.340314406808766,33.42846568077719,34.154404780210996,415200
2023-08-08,32.6494140625,32.729090097272966,31.56936189715641,32.40153118925918,1358500
2023-08-09,33.56126022338867,33.86225820922151,32.64056010471119,32.844175892612085,456800
2023-08-10,33.127464294433594,33.6497841753786,33.012379324318545,33.198288931831705,534900
2023-08-11,31.808391571044922,32.667121835182215,31.551657293318616,32.22447792618031,1180300
2023-08-14,31.74641990661621,32.976969364024235,28.771852465256043,32.69367754838087,2384600
2023-08-15,30.60439682006836,31.401157134786814,30.4981632371408,30.808012594473137,857300
2023-08-16,30.090932846069336,31.06474804409935,30.090932846069336,30.560134284397726,554300
2023-08-17,29.550905227661133,30.825718336834054,29.241052497422146,30.76374846620719,800800
2023-08-18,29.905019760131836,30.96736575849438,28.96661688621387,29.205644989128306,1160500
2023-08-21,30.197166442871094,30.294548638126624,29.462375971110156,29.922726017796855,639700
2023-08-22,29.533199310302734,30.719485007489872,29.294171217163758,30.63095420793579,795900
2023-08-23,28.338058471679688,29.62172634293093,28.284943369750927,29.42696534068439,1458500
2023-08-24,27.12521743774414,29.214497169604133,26.647162907561537,29.214497169604133,1273900
2023-08-25,26.912748336791992,27.56786109532135,26.567486640844038,27.266863113219692,765700
2023-08-28,27.23145294189453,27.559008482440685,26.91274879342586,26.91274879342586,573200
2023-08-29,29.772228240966797,30.126341317830626,27.39080369964506,27.41736125170603,1023200
2023-08-30,29.52434539794922,29.993550206430232,29.152526160354054,29.657139912578803,442000
2023-08-31,29.683698654174805,30.10863639007125,29.36499450797624,30.10863639007125,487600
2023-09-01,30.489309310913086,30.816868214404973,29.905019523012296,30.099783911347494,915000
2023-09-05,29.48008155822754,30.533576147744018,29.223347298840768,29.71910965726645,851900
2023-09-06,28.488561630249023,30.03781527786062,28.24068043875228,29.48008301913106,877900
2023-09-07,26.399280548095703,27.61212551376237,26.133694897377183,27.559007032776755,1116200
2023-09-08,25.744169235229492,26.63831011859167,25.460877408531076,26.62945703793828,920200
2023-09-11,25.841548919677734,26.815365745622916,25.41660953242101,26.532072257934324,898100
2023-09-12,27.53244972229004,27.62983022784623,25.629081372642126,25.699904326024992,908000
2023-09-13,26.425840377807617,27.390804186047788,26.337311262743373,27.346538784239453,757800
